Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
25186 - 2015,15/03/2016,6 - Pregão eletrônico,669,DMC DISTRIBUIDORA COMERCIO D' MEDICAMENTOS LTDA EPP,47259.68,"futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
25186 - 2015,15/03/2016,6 - Pregão eletrônico,669,ELFA MEDICAMENTOS LTDA,336460.16,"futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
25186 - 2015,15/03/2016,6 - Pregão eletrônico,669,EXPRESSA DISTRIBUIDORA DE MEDICAMENTOS LTDA,157852.8,"futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
25186 - 2015,15/03/2016,6 - Pregão eletrônico,669,CM HOSPITALAR LTDA,1457301.03,"futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
25186 - 2015,15/03/2016,6 - Pregão eletrônico,669,PROVIP DISTRIBUIDORA HOSPITALAR LTDA EPP,56247.48,"futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura ou eventual aquisição de medicamentos (Imipramina 25 mg, Cilostazol e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
25343 - 2015,17/05/2016,5 - PREGÃO PRESENCIAL,677,LATICINIO TAQUARI LTDA,44200,"futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
25801 - 2015,29/03/2016,6 - Pregão eletrônico,693,FARED COMERCIAL LTDA ME,16050,"aquisição de materiais (pesca de larvas e pipeta de plástico), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais (pesca de larvas e pipeta de plástico), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
25963 - 2015,14/01/2016,5 - PREGÃO PRESENCIAL,698,POSTO BRASILIA LTDA,556050,"aquisição de combustíveis (gasolina tipo C, óleo diesel, óleo diesel B S-10 e etanol hidratado), em atendimento às Secretarias Municipais de Saúde, de Cultura e Superintendência de Operações e manutenção.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de combustíveis (gasolina tipo C, óleo diesel, óleo diesel B S-10 e etanol hidratado), em atendimento às Secretarias Municipais de Saúde, de Cultura e Superintendência de Operações e manutenção.",,,,,,Prefeitura Municipal de Uberlândia
27756 - 2015,29/03/2016,6 - Pregão eletrônico,775,VDM EQUIPAMENTOS DE SEGURANCA E UNIFORMES LTDA,7240,"aquisição de equipamento de segurança, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de equipamento de segurança, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27756 - 2015,29/03/2016,6 - Pregão eletrônico,775,SEVENMIX COMERCIO E SERVICO EIRELI - ME,8628,"aquisição de equipamento de segurança, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de equipamento de segurança, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27830 - 2015,17/05/2016,6 - Pregão eletrônico,784,ELEVADORES ORION LTDA,6460,"prestação de serviços gráficos, em atendimento a Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com prestação de serviços gráficos, em atendimento a Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27830 - 2015,17/05/2016,6 - Pregão eletrônico,784,ELEVADORES ATLAS SCHINDLER S A,3461.28,"prestação de serviços gráficos, em atendimento a Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com prestação de serviços gráficos, em atendimento a Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27882 - 2015,8/8/2016,3 - CONCORRÊNCIA,787,HBC - HOSPITAL BRASIL CENTRAL LTDA,123963.48,"cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27882 - 2015,8/8/2016,3 - CONCORRÊNCIA,787,ISO OLHOS - INSTITUTO DE SAUDE OCULAR LTDA,497114.04,"cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27882 - 2015,8/8/2016,3 - CONCORRÊNCIA,787,PATRUS HOSPITAL OFTALMOLOGICO LTDA,112069.2,"cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
27882 - 2015,8/8/2016,3 - CONCORRÊNCIA,787,NEO OFTALMOLOGIA - NUCLEO ESPECIALIZADO EM OFTALMOLOGIA DE U,313040.24,"cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com cadastramento de prestadores de serviços de Oftalmologia, constantes na Tabela de Procedimentos, Medicamentos, OPM do SUS, conforme quantitativo e especificações constantes no Edital, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
28518 - 2015,13/04/2016,5 - PREGÃO PRESENCIAL,824,C R BUFE E EVENTOS LTDA - ME,9650,"futuro ou eventual fornecimento de coffe break com garçom, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Saúde,"Qual o valor gasto com futuro ou eventual fornecimento de coffe break com garçom, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
28988 - 2015,22/08/2016,6 - Pregão eletrônico,835,MAXICROM INDUSTRIA GRAFICA LTDA - EPP,7422,"prestação de serviços graficos, em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com prestação de serviços graficos, em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
29693 - 2015,22/09/2016,5 - PREGÃO PRESENCIAL,862,PUBLICENTER INFORMATICA COMERCIO E LOCACAO LTDA - ME,1007994.84,"prestação de serviços técnicos relacionado à tecnologia da informação para a implantação, customização e manutenção de um sistema de gestão na área de saúde, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com prestação de serviços técnicos relacionado à tecnologia da informação para a implantação, customização e manutenção de um sistema de gestão na área de saúde, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
29963 - 2015,25/05/2016,5 - PREGÃO PRESENCIAL,909,NUTRIR REFEICOES COLETIVAS LTDA - EPP,1487180,futuro ou eventual fornecimento de refeições em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Saúde,Qual o valor gasto com futuro ou eventual fornecimento de refeições em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,,,,,,Prefeitura Municipal de Uberlândia
29963 - 2015,25/05/2016,5 - PREGÃO PRESENCIAL,909,LILIAN CARLA PEREIRA - ME,431138.85,futuro ou eventual fornecimento de refeições em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Saúde,Qual o valor gasto com futuro ou eventual fornecimento de refeições em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,,,,,,Prefeitura Municipal de Uberlândia
30196 - 2015,30/11/2016,6 - Pregão eletrônico,921,RB DIGITAL EIRELI - EPP,106741.76,"prestação de serviços de repografia com instalação de toda a estrutura e fornecimento do material de consumo necessário (papel, toner, cartuchos, revelador, cilindro e outros), em atendimento á Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com prestação de serviços de repografia com instalação de toda a estrutura e fornecimento do material de consumo necessário (papel, toner, cartuchos, revelador, cilindro e outros), em atendimento á Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
30814 - 2015,20/06/2016,6 - Pregão eletrônico,961,INTER MEDICAL EQUIPAMENTOS E SERVICOS LTDA - EPP,464000,"aquisição de sistema de videoendoscopia, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de sistema de videoendoscopia, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
30815 - 2015,11/10/2016,6 - Pregão eletrônico,959,EVOLUE COMERCIO DE EQUIPAMENTOS PARA TELECOMUN LTDA - EPP,32246.29,"aquisição de aparelhos de telefone, em atendimento a Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de aparelhos de telefone, em atendimento a Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
10680 - 2016,5/9/2016,6 - Pregão eletrônico,251,LM COMERCIO LTDA - ME,49273.25,"aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de gêneros alimentícios (café, açúcar e chá), para serem utilizados pela S. M. de Administração e demais órgãos da Administração Direta da Prefeitura Municipal e abastecimento da Diretoria de Armazenagem e Distribuição e pela S. M. de Saúde",,,,,,Prefeitura Municipal de Uberlândia
11439 - 2016,30/09/2016,6 - Pregão eletrônico,269,SISTEMAS DE ALARME MAXIMA SEGURANCA LTDA - EPP,5611.5,prestação de serviços de monitoramento e manutenção de alarmes em atendimento à Secretaria Municipal de Saúde.,Secretaria Municipal de Saúde,Qual o valor gasto com prestação de serviços de monitoramento e manutenção de alarmes em atendimento à Secretaria Municipal de Saúde.,,,,,,Prefeitura Municipal de Uberlândia
11550 - 2016,9/8/2016,6 - Pregão eletrônico,273,PROFARMA SPECIALTY S A,47775.15,"aquisição de medicamentos (Lucentis, Avastin e Eyla), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de medicamentos (Lucentis, Avastin e Eyla), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
12453 - 2016,6/10/2016,6 - Pregão eletrônico,301,AL COMERCIO DE MATERIAIS DE ESCRITRIO LTDA - ME,46872,"aquisição de materiais de limpeza, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais de limpeza, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
12453 - 2016,6/10/2016,6 - Pregão eletrônico,301,LM COMERCIO LTDA - ME,6832,"aquisição de materiais de limpeza, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de materiais de limpeza, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
12699 - 2016,29/11/2016,5 - PREGÃO PRESENCIAL,306,INSTITUICAO CRISTA DE ASSISTENCIA SOCIAL DE UBERLANDIA,768715,"prestação de serviços de lavanderia, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com prestação de serviços de lavanderia, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
17169 - 2016,22/09/2016,6 - Pregão eletrônico,424,PONTASUL MOVEIS LTDA - EPP,29923,"aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
17169 - 2016,22/09/2016,6 - Pregão eletrônico,424,MOURA EMPREENDIMENTOS COMERCIAIS LTDA - ME,59723.54,"aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
17169 - 2016,22/09/2016,6 - Pregão eletrônico,424,MECA OFFICE MOBILIARIO EIRELI,65131,"aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
17169 - 2016,22/09/2016,6 - Pregão eletrônico,424,NOVO SECULO MOVEIS PARA ESCRITORIO LTDA - EPP,79318,"aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário (arquivo de aço, mesa tipo secretária, armário de aço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
18084 - 2016,4/8/2016,1 - CONVITE,465,MAMEDE EVENTOSE ENTRETERIMENTO LTDA-ME,34000.66,"locação de 06 (seis) carros de som, para a divulgação da 32ª campanha de vacinação antirrábica animal, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com locação de 06 (seis) carros de som, para a divulgação da 32ª campanha de vacinação antirrábica animal, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
18085 - 2016,30/11/2016,6 - Pregão eletrônico,466,DELIMED DISTRIBUIDORA DE MEDICAMENTOS LTDA - EPP,43000,"aquisição de medicamento (Implanon etonogestrel), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de medicamento (Implanon etonogestrel), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
18085 - 2016,30/11/2016,6 - Pregão eletrônico,466,ELFA MEDICAMENTOS LTDA,108342,"aquisição de medicamento (Implanon etonogestrel), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de medicamento (Implanon etonogestrel), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
18921 - 2016,9/12/2016,6 - Pregão eletrônico,487,ACHEI INDUSTRIA DE MOVEIS PARA ESCRITORIO LTDA - ME,32498,"aquisição de mobiliário, em atendimento á Secretaria Municipal de Saúde e Superintendência de Proteção e Defesa do Consumidor.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário, em atendimento á Secretaria Municipal de Saúde e Superintendência de Proteção e Defesa do Consumidor.",,,,,,Prefeitura Municipal de Uberlândia
18921 - 2016,9/12/2016,6 - Pregão eletrônico,487,PONTASUL MOVEIS LTDA - EPP,25218,"aquisição de mobiliário, em atendimento á Secretaria Municipal de Saúde e Superintendência de Proteção e Defesa do Consumidor.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário, em atendimento á Secretaria Municipal de Saúde e Superintendência de Proteção e Defesa do Consumidor.",,,,,,Prefeitura Municipal de Uberlândia
18921 - 2016,9/12/2016,6 - Pregão eletrônico,487,MECA OFFICE MOBILIARIO EIRELI,13828.5,"aquisição de mobiliário, em atendimento á Secretaria Municipal de Saúde e Superintendência de Proteção e Defesa do Consumidor.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário, em atendimento á Secretaria Municipal de Saúde e Superintendência de Proteção e Defesa do Consumidor.",,,,,,Prefeitura Municipal de Uberlândia
21387 - 2016,16/11/2016,6 - Pregão eletrônico,561,MILLENIUM SERVICOS COMERCIO E DISTRIBUICAO LTDA - ME,12255,"aquisição de mobiliário, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
21387 - 2016,16/11/2016,6 - Pregão eletrônico,561,MOURA EMPREENDIMENTOS COMERCIAIS LTDA - ME,38610,"aquisição de mobiliário, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de mobiliário, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
2233 - 2016,21/06/2016,6 - Pregão eletrônico,45,CIRURGICA ALIANCA PRODUTOS HOSPITALARES LTDA,2880,"aquisição de produtos (fórmula infantil), em atendimento á Secretaria Municipal de Sáude.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de produtos (fórmula infantil), em atendimento á Secretaria Municipal de Sáude.",,,,,,Prefeitura Municipal de Uberlândia
3609 - 2016,16/11/2016,6 - Pregão eletrônico,94,MWV WEBSITE COMERCIO DE PRODUTOS ELETROELETRONICOS LTDA - ME,17696,"aquisição de eletrodomésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de eletrodomésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
3609 - 2016,16/11/2016,6 - Pregão eletrônico,94,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,4480,"aquisição de eletrodomésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com aquisição de eletrodomésticos entre outros, em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
3611 - 2016,22/09/2016,6 - Pregão eletrônico,96,V L COMERCIO DE BRINDES PROMOCIONAIS LTDA - ME,15631.2,aquisição de camisetas para serem utilizadas pela equipe de ouvidoria e pelos agentes comunitários de saúde (ACS) em atendimento à Secretaria Municipal de Saúde.,Secretaria Municipal de Saúde,Qual o valor gasto com aquisição de camisetas para serem utilizadas pela equipe de ouvidoria e pelos agentes comunitários de saúde (ACS) em atendimento à Secretaria Municipal de Saúde.,,,,,,Prefeitura Municipal de Uberlândia
5666 - 2016,13/09/2016,6 - Pregão eletrônico,139,L M LADEIRA & CIA LTDA - ME,29374.4,"futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5666 - 2016,13/09/2016,6 - Pregão eletrônico,139,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA - EPP,5422,"futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5666 - 2016,13/09/2016,6 - Pregão eletrônico,139,CIRURGICA ZANIN LTDA - EPP,7696,"futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5666 - 2016,13/09/2016,6 - Pregão eletrônico,139,CIRURGICA ODONTO VIDA LTDA ME,3222.4,"futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5666 - 2016,13/09/2016,6 - Pregão eletrônico,139,VENTTO TECNOLOGIA E SAUDE LTDA EPP,13488,"futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5666 - 2016,13/09/2016,6 - Pregão eletrônico,139,ELISVANDIA MATOS DONINI ME,27380.6,"futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual quisição de materiais (porta agulha, cureta, forceps, sonda e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5667 - 2016,21/09/2016,6 - Pregão eletrônico,140,DENTAL MARIA LTDA ME,10825.1,"futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5667 - 2016,21/09/2016,6 - Pregão eletrônico,140,VENTTO TECNOLOGIA E SAUDE LTDA EPP,29549,"futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5667 - 2016,21/09/2016,6 - Pregão eletrônico,140,UNIMARCAS DISTRIBUICAO E COMERCIO EIRELI EPP,25151.6,"futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5667 - 2016,21/09/2016,6 - Pregão eletrônico,140,CIRURGICA ZANIN LTDA - EPP,108780.6,"futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5667 - 2016,21/09/2016,6 - Pregão eletrônico,140,CIRURGICA ODONTO VIDA LTDA ME,12920,"futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5667 - 2016,21/09/2016,6 - Pregão eletrônico,140,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA - EPP,18506,"futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição dos materiais (cureta gracey, espelho bucal, pinça kelly, tesoura cirúrgica, cinzel lucas, suporte de braço e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
5668 - 2016,16/09/2016,6 - Pregão eletrônico,141,CIRURGICA ZANIN LTDA - EPP,368860,"futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",Secretaria Municipal de Saúde,"Qual o valor gasto com futura e eventual aquisição de mobiliário hospitalar (cadeira de rodas, balança mecânica pediátrica, escada, berço hospitalar e outros), em atendimento à Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
